Valor da Transação,Data/Hora da Transação,Localização da Transação,Data criação conta recebedor,Classe(transações anteriores),Classe (rótulo),Recorrência de envios do mesmo valor,Idade do titular do cartão,Classe(cartão temporário),Limite de crédito,Classe(nome lista devedores),Número de cartões complementares,Data ativação do cartão,Numero transações para outro pais,Número de transações suspeitas anteriormente,Valor médio das transações do usuário,Classe(histórico pagamento),Classe(emprego fixo),Tempo desde a ultima transação,Dispositivo de acesso novo?
488.39,2023-09-23 22:19:16,"-52.76981, -28.748334",2015-01-05 22:19:16,0,0,1,79,0,5000,1,3,2015-02-27 22:19:16,8,5,332.88,inadimplente,0,2023-08-31 05:29:34,0
669.24,2023-10-14 01:00:55,"-40.871644, -5.168882",2019-05-06 01:00:55,1,0,1,39,1,2000,0,3,2019-07-20 01:00:55,9,5,229.79,bom,0,2023-09-23 05:38:43,0
77.61,2024-12-07 00:31:33,"66.033244, -114.57755",2021-12-08 00:31:33,1,0,1,45,1,5000,1,3,2022-01-12 00:31:33,6,2,267.23,bom,1,2024-12-06 01:56:34,0
511.15,2024-12-24 03:29:32,"89.983409, -54.014276",2017-08-11 03:29:32,0,0,0,21,0,2000,0,4,2017-08-30 03:29:32,3,1,300.51,atrasado,0,2024-11-26 18:25:13,0
162.08,2024-09-09 17:38:03,"-6.293883, -87.752269",2020-06-22 17:38:03,0,0,0,38,1,1000,0,2,2020-09-03 17:38:03,10,3,276.54,atrasado,0,2024-09-06 01:05:31,0
38.3,2024-11-24 21:41:23,"-71.657765, 98.093119",2015-04-14 21:41:23,0,0,0,62,1,5000,0,4,2015-07-05 21:41:23,5,0,283.87,atrasado,1,2024-11-19 18:43:41,1
219.44,2024-11-08 02:40:40,"82.941762, 48.810638",2015-06-25 02:40:40,1,0,0,73,0,20000,1,4,2015-09-01 02:40:40,7,3,340.41,atrasado,1,2024-10-23 11:09:57,0
135.59,2024-05-09 12:25:30,"59.531583, -148.801357",2014-05-21 12:25:30,1,1,0,77,1,5000,0,3,2014-07-01 12:25:30,2,3,108.12,bom,1,2024-04-26 23:25:22,1
100.57,2025-05-25 08:14:04,"-39.661472, 34.615803",2015-06-13 08:14:04,1,0,0,84,0,1000,0,5,2015-08-04 08:14:04,7,4,297.35,bom,1,2025-05-01 12:23:11,1
282.15,2024-06-23 08:00:50,"52.727916, -146.500794",2021-11-29 08:00:50,1,0,0,57,1,10000,1,3,2022-02-07 08:00:50,5,2,280.76,inadimplente,1,2024-06-10 04:22:25,1
46.96,2024-04-22 08:34:06,"-44.747338, -136.563881",2022-01-25 08:34:06,1,0,0,41,0,2000,1,2,2022-04-10 08:34:06,8,4,330.15,atrasado,0,2024-04-12 22:24:18,1
1273.21,2025-04-03 04:31:05,"-49.053031, -115.401044",2025-01-06 04:31:05,0,0,1,23,0,20000,1,5,2025-01-22 04:31:05,10,3,414.28,bom,0,2025-03-06 07:41:06,1
81.4,2023-12-24 06:30:29,"-5.50855, -21.431233",2021-10-30 06:30:29,0,0,1,79,0,1000,1,3,2021-11-08 06:30:29,9,5,375.19,inadimplente,0,2023-12-16 21:44:00,0
137.56,2024-05-21 18:31:27,"56.005574, 161.685231",2023-05-09 18:31:27,0,0,0,71,0,20000,1,3,2023-07-04 18:31:27,4,4,358.69,atrasado,1,2024-04-24 04:01:23,0
28.39,2024-09-05 18:30:57,"19.733564, 86.43215",2016-01-17 18:30:57,0,0,0,51,0,2000,0,1,2016-03-27 18:30:57,1,1,519.05,bom,1,2024-08-14 21:38:28,1
116.04,2025-02-28 00:39:36,"-37.573328, -96.668556",2017-02-25 00:39:36,1,0,1,27,0,5000,0,3,2017-03-11 00:39:36,8,1,309.97,inadimplente,0,2025-02-15 03:10:33,0
339.56,2025-06-13 08:21:51,"-77.146229, -120.267796",2021-12-02 08:21:51,1,0,1,33,1,5000,1,2,2022-02-04 08:21:51,8,3,249.65,atrasado,0,2025-05-15 07:36:04,0
215.29,2024-04-28 00:06:50,"70.09612, 84.432212",2017-06-22 00:06:50,1,0,0,29,0,20000,0,5,2017-07-26 00:06:50,9,0,193.77,bom,1,2024-04-02 19:28:38,1
352.26,2024-06-02 07:49:41,"74.893102, -114.663907",2017-10-10 07:49:41,1,0,1,29,1,5000,1,2,2017-11-20 07:49:41,10,0,347.36,bom,1,2024-05-13 08:13:37,1
828.1,2024-10-09 09:03:41,"-38.120797, 160.269674",2015-07-27 09:03:41,0,0,1,29,1,5000,1,0,2015-09-16 09:03:41,8,0,221.67,inadimplente,1,2024-09-19 07:35:36,0
775.86,2024-11-09 12:39:02,"-56.235143, -49.759431",2016-04-17 12:39:02,1,0,1,24,0,5000,0,2,2016-06-12 12:39:02,7,0,267.79,bom,0,2024-11-01 20:07:36,1
89.5,2024-01-21 17:15:02,"9.151021, 18.810507",2022-12-06 17:15:02,0,0,0,77,0,2000,1,5,2023-01-12 17:15:02,8,5,322.75,atrasado,1,2023-12-29 07:05:53,1
226.28,2024-10-10 05:26:33,"-46.128437, 18.455428",2020-05-23 05:26:33,0,0,0,26,1,10000,1,4,2020-06-26 05:26:33,0,2,430.71,inadimplente,1,2024-09-11 17:36:38,1
29.32,2025-02-19 04:16:04,"65.746907, -19.242939",2019-08-17 04:16:04,1,0,1,66,1,5000,0,5,2019-09-16 04:16:04,9,3,325.99,bom,1,2025-02-17 01:24:54,1
124.21,2024-04-18 16:14:40,"44.046927, 73.882037",2015-02-12 16:14:40,1,0,1,37,1,1000,0,4,2015-04-28 16:14:40,5,0,378.18,atrasado,0,2024-03-24 03:28:02,1
388.34,2024-07-11 02:31:41,"-87.237432, -128.10405",2014-09-05 02:31:41,0,0,0,78,1,5000,1,5,2014-09-15 02:31:41,5,5,325.05,inadimplente,1,2024-06-25 17:35:28,1
308.19,2024-06-08 22:22:48,"67.028943, -167.076324",2023-08-03 22:22:48,0,0,1,47,0,10000,0,5,2023-11-01 22:22:48,1,3,334.64,bom,1,2024-06-07 12:39:15,0
52.89,2024-11-02 14:54:38,"-31.61256, -159.797078",2020-09-26 14:54:38,1,0,1,36,0,20000,1,4,2020-12-22 14:54:38,2,1,329.31,bom,0,2024-10-04 00:48:05,1
1.52,2025-07-02 11:49:00,"21.547866, -93.301275",2018-11-18 11:49:00,0,0,0,77,1,10000,1,5,2018-11-19 11:49:00,7,2,228.56,inadimplente,0,2025-06-28 21:45:41,1
238.71,2024-09-18 16:59:15,"80.142414, 175.55461",2021-04-12 16:59:15,1,0,1,76,1,2000,1,3,2021-04-25 16:59:15,3,3,180.87,inadimplente,1,2024-08-21 19:17:00,1
373.63,2024-10-25 06:01:54,"88.684568, -73.716929",2015-06-06 06:01:54,1,0,1,19,0,20000,1,2,2015-07-05 06:01:54,9,2,365.66,bom,0,2024-10-13 02:01:50,0
118.09,2024-06-06 14:27:39,"23.084659, 145.225333",2017-02-06 14:27:39,0,0,1,74,0,20000,1,5,2017-02-22 14:27:39,1,2,396.34,atrasado,1,2024-05-29 01:49:32,0
321.54,2024-08-16 00:03:08,"-66.211236, 14.186793",2020-06-10 00:03:08,1,0,0,50,1,5000,1,0,2020-08-08 00:03:08,1,1,341.28,bom,1,2024-07-19 22:44:10,1
29.51,2024-05-26 22:51:13,"-73.745482, -37.953158",2021-05-09 22:51:13,0,0,1,65,1,20000,1,5,2021-06-25 22:51:13,1,5,211.05,bom,1,2024-05-25 17:41:53,1
1083.69,2023-11-17 00:20:41,"74.746064, -100.307808",2023-02-02 00:20:41,1,0,1,70,0,2000,0,0,2023-03-12 00:20:41,7,0,218.42,bom,0,2023-10-21 22:03:28,0
667.82,2024-10-02 03:50:12,"-20.04375, -46.435854",2016-05-04 03:50:12,1,0,0,71,0,10000,1,2,2016-05-08 03:50:12,5,1,301.3,atrasado,1,2024-09-20 16:44:44,1
258.05,2024-06-25 01:57:26,"-72.116168, 66.844896",2018-04-18 01:57:26,1,0,0,68,1,2000,0,3,2018-04-29 01:57:26,10,1,445.35,inadimplente,0,2024-06-22 15:01:45,1
65.16,2023-09-25 07:47:20,"-46.157599, -134.667401",2017-04-27 07:47:20,0,0,0,44,0,2000,1,1,2017-07-12 07:47:20,0,2,192.91,bom,0,2023-08-30 02:23:33,1
846.32,2025-02-11 00:09:32,"53.732488, -140.426515",2015-04-27 00:09:32,0,1,0,19,1,2000,1,0,2015-05-19 00:09:32,4,0,348.25,bom,1,2025-01-16 11:13:30,0
739.05,2025-05-19 07:03:31,"44.21975, -8.551452",2016-07-29 07:03:31,1,0,0,75,0,20000,0,5,2016-10-21 07:03:31,8,2,347.32,atrasado,0,2025-05-16 08:11:31,1
994.12,2024-06-17 10:45:01,"62.513738, -26.541497",2023-03-03 10:45:01,1,0,1,27,0,5000,0,0,2023-03-19 10:45:01,4,4,292.72,inadimplente,1,2024-05-29 22:57:53,1
104.63,2023-09-26 19:06:21,"-8.331225, 37.953645",2022-07-17 19:06:21,0,0,0,73,1,2000,1,2,2022-09-13 19:06:21,6,3,255.35,inadimplente,0,2023-09-11 14:57:39,1
55.72,2024-11-01 22:31:13,"-33.745757, -88.239673",2023-01-16 22:31:13,1,0,0,29,0,1000,1,0,2023-03-04 22:31:13,2,4,385.64,bom,1,2024-10-27 00:06:38,1
825.39,2023-08-01 10:04:32,"-26.352346, 59.522587",2015-02-01 10:04:32,1,0,0,54,1,5000,0,4,2015-04-06 10:04:32,3,1,211.61,inadimplente,1,2023-07-21 12:48:41,0
286.36,2025-01-10 01:46:46,"-26.979481, 20.255571",2023-08-29 01:46:46,1,1,0,72,0,20000,1,0,2023-09-21 01:46:46,4,5,315.37,atrasado,1,2024-12-24 00:48:28,0
45.28,2025-06-16 13:43:55,"-57.347, -128.429463",2018-01-02 13:43:55,1,0,0,36,0,1000,0,3,2018-02-24 13:43:55,7,2,335.78,bom,1,2025-06-01 10:38:54,1
358.22,2024-04-25 09:50:13,"49.830412, 24.33368",2023-04-14 09:50:13,0,0,0,38,0,1000,1,3,2023-07-07 09:50:13,6,3,356.08,inadimplente,1,2024-04-05 07:16:41,1
133.65,2023-12-09 10:10:10,"-51.197586, 4.44467",2019-12-27 10:10:10,1,0,0,54,1,20000,1,0,2020-01-24 10:10:10,6,4,351.5,bom,0,2023-11-29 11:59:58,1
605.39,2024-09-07 20:50:34,"80.158336, 96.24583",2016-01-13 20:50:34,1,1,1,59,0,1000,1,5,2016-03-08 20:50:34,2,1,351.38,atrasado,0,2024-08-14 13:59:42,1
214.83,2023-09-06 03:10:28,"-77.026411, 130.23517",2023-02-15 03:10:28,1,0,0,76,0,5000,1,4,2023-04-07 03:10:28,10,3,357.09,atrasado,0,2023-08-17 11:16:40,0
363.17,2024-09-28 05:07:31,"83.915944, -118.125655",2017-09-24 05:07:31,1,0,1,29,1,1000,0,3,2017-12-08 05:07:31,6,4,413.56,bom,1,2024-09-13 03:37:46,1
662.2,2025-02-19 09:26:57,"-50.117029, 100.482433",2024-03-14 09:26:57,0,0,0,62,1,2000,0,0,2024-04-01 09:26:57,4,1,222.72,bom,0,2025-02-15 17:39:23,0
259.02,2023-11-22 09:32:48,"81.232585, 46.061558",2018-08-10 09:32:48,1,0,1,58,0,10000,0,3,2018-10-05 09:32:48,10,2,276.32,atrasado,0,2023-11-05 07:30:16,0
187.98,2025-02-02 07:08:31,"-34.126587, -17.311009",2024-05-15 07:08:31,1,0,1,27,0,20000,1,3,2024-07-28 07:08:31,8,5,368.63,bom,1,2025-01-05 13:06:50,0
9.29,2023-07-25 16:39:37,"-32.125183, -8.77355",2021-10-16 16:39:37,0,0,1,31,1,1000,0,0,2021-11-16 16:39:37,7,3,138.73,inadimplente,0,2023-07-08 00:41:19,1
518.81,2025-01-30 13:39:17,"75.228622, -40.530039",2016-04-25 13:39:17,1,0,0,60,0,5000,0,4,2016-07-20 13:39:17,6,2,306.43,atrasado,0,2025-01-14 09:15:36,0
440.89,2024-02-01 02:49:32,"14.893113, -129.085783",2020-01-31 02:49:32,1,0,1,34,0,5000,1,5,2020-03-13 02:49:32,2,5,192.23,inadimplente,0,2024-01-11 13:31:17,1
292.57,2024-09-07 02:56:33,"-86.718503, -68.808215",2022-03-15 02:56:33,1,0,1,42,0,2000,0,0,2022-04-21 02:56:33,1,4,304.56,inadimplente,0,2024-08-21 18:35:01,0
233.37,2025-07-08 01:02:15,"17.504359, -124.469006",2023-05-30 01:02:15,0,0,1,23,1,5000,0,3,2023-08-16 01:02:15,4,5,234.84,atrasado,0,2025-06-12 02:52:10,0
388.49,2024-02-24 00:20:49,"-34.295779, 111.104594",2018-10-22 00:20:49,0,1,1,74,1,5000,1,4,2018-12-28 00:20:49,6,1,97.49,bom,0,2024-02-11 21:04:20,0
475.7,2024-03-08 09:30:11,"25.412227, 134.6821",2017-11-19 09:30:11,0,0,0,54,0,2000,1,3,2018-01-23 09:30:11,2,3,318.65,bom,0,2024-02-15 11:54:04,1
173.4,2023-10-22 01:41:19,"77.484947, -30.637114",2019-04-13 01:41:19,1,0,0,67,0,5000,0,0,2019-05-23 01:41:19,1,5,350.5,inadimplente,1,2023-10-14 23:31:44,0
157.76,2023-08-08 00:48:14,"-83.105426, 150.262622",2018-03-22 00:48:14,0,0,1,75,0,1000,0,2,2018-04-18 00:48:14,2,4,386.58,inadimplente,1,2023-08-02 15:15:43,1
51.04,2024-03-28 21:02:47,"-47.224759, -136.134596",2021-06-26 21:02:47,1,0,1,26,0,10000,0,5,2021-08-30 21:02:47,9,1,476.55,inadimplente,0,2024-03-14 17:41:24,1
323.82,2025-05-29 07:31:52,"-89.71842, -52.986226",2018-12-05 07:31:52,1,0,0,28,1,1000,0,3,2019-02-03 07:31:52,0,5,340.5,atrasado,1,2025-05-17 00:00:26,0
929.43,2025-05-15 08:58:57,"-25.723102, -155.678559",2022-08-02 08:58:57,0,0,1,35,0,5000,1,5,2022-08-24 08:58:57,10,3,512.22,inadimplente,1,2025-05-06 12:36:48,0
163.21,2024-08-13 03:21:36,"-78.641903, 99.428544",2019-05-28 03:21:36,0,0,1,43,0,2000,0,2,2019-07-06 03:21:36,8,3,403.25,inadimplente,1,2024-07-31 20:13:42,0
132.0,2023-11-20 20:32:27,"45.592365, -111.202765",2019-10-20 20:32:27,0,0,1,52,0,5000,1,3,2019-12-15 20:32:27,6,2,344.38,bom,1,2023-10-27 16:53:03,1
192.84,2025-04-18 06:59:43,"76.375884, 6.939307",2016-03-25 06:59:43,0,0,1,28,1,20000,0,4,2016-05-01 06:59:43,5,0,377.46,bom,1,2025-04-03 22:33:00,1
202.96,2023-12-10 20:36:36,"-9.735163, 78.358648",2021-12-28 20:36:36,1,0,1,75,0,5000,1,2,2022-03-19 20:36:36,0,0,274.74,inadimplente,1,2023-11-23 05:19:19,0
152.5,2023-08-24 21:42:40,"81.502091, -128.599391",2016-10-01 21:42:40,1,0,0,34,0,2000,1,2,2016-11-19 21:42:40,9,0,175.22,inadimplente,0,2023-08-03 01:30:48,1
302.43,2024-11-13 06:29:25,"-23.037592, 94.71041",2018-05-09 06:29:25,0,0,1,68,1,5000,0,0,2018-05-12 06:29:25,2,3,444.13,inadimplente,1,2024-10-17 00:05:39,0
209.83,2024-01-05 04:59:25,"-42.880198, -86.295682",2018-12-05 04:59:25,0,0,1,80,0,1000,0,0,2019-01-31 04:59:25,2,5,156.41,atrasado,0,2023-12-20 16:38:37,1
322.49,2025-01-16 16:10:07,"37.717288, 17.998973",2021-09-15 16:10:07,1,0,0,40,1,20000,0,0,2021-10-10 16:10:07,2,1,319.91,atrasado,0,2024-12-30 03:41:38,1
8.06,2024-09-20 08:38:43,"-5.866949, 173.884305",2023-03-09 08:38:43,0,0,0,57,1,10000,1,3,2023-05-21 08:38:43,1,1,239.98,atrasado,0,2024-08-29 12:23:14,1
845.18,2024-06-23 08:36:22,"32.419618, -55.974679",2014-07-20 08:36:22,0,0,0,73,0,1000,0,2,2014-08-10 08:36:22,2,2,458.6,inadimplente,0,2024-06-06 13:27:37,1
183.89,2024-09-23 05:06:48,"62.268067, -89.782089",2017-07-11 05:06:48,1,0,0,56,0,20000,0,4,2017-09-23 05:06:48,2,1,176.22,inadimplente,1,2024-08-26 20:27:03,0
851.44,2025-06-12 06:05:45,"58.542528, -169.785544",2024-11-08 06:05:45,1,0,0,71,0,10000,1,5,2024-12-16 06:05:45,7,1,328.1,inadimplente,1,2025-05-28 19:33:37,1
22.15,2024-10-04 14:27:17,"-76.864855, -158.431308",2019-10-01 14:27:17,1,0,1,77,0,5000,0,2,2019-11-10 14:27:17,5,3,237.73,bom,1,2024-09-09 14:27:34,0
559.06,2024-12-06 10:03:42,"-32.55914, -12.069876",2021-11-07 10:03:42,1,0,0,36,0,1000,1,3,2022-01-24 10:03:42,6,1,241.06,bom,1,2024-11-08 09:00:27,1
37.73,2024-12-25 02:55:57,"-55.829862, -122.636732",2019-02-17 02:55:57,1,0,1,57,1,1000,0,3,2019-04-22 02:55:57,7,1,384.96,bom,1,2024-12-22 18:14:30,0
297.42,2024-08-14 11:38:43,"-39.355859, 35.106758",2015-02-01 11:38:43,1,0,1,19,0,10000,0,2,2015-03-19 11:38:43,6,2,381.29,bom,1,2024-08-12 00:02:33,0
99.4,2024-09-24 07:09:06,"-24.74572, -76.103389",2020-04-26 07:09:06,1,0,1,33,0,1000,1,2,2020-06-08 07:09:06,8,2,362.96,bom,0,2024-08-26 01:13:54,1
416.63,2025-03-04 00:12:10,"0.014023, -163.690793",2023-07-22 00:12:10,1,0,1,84,1,2000,0,2,2023-10-08 00:12:10,5,1,297.91,atrasado,1,2025-02-03 04:27:49,1
139.57,2024-03-18 19:02:12,"1.316698, 3.497076",2018-08-21 19:02:12,1,0,1,20,1,5000,0,3,2018-11-03 19:02:12,4,5,311.73,inadimplente,0,2024-02-18 19:35:12,1
125.02,2025-04-22 13:17:08,"-42.204521, 56.01275",2016-07-09 13:17:08,0,1,0,79,0,20000,1,1,2016-10-04 13:17:08,3,0,278.23,inadimplente,0,2025-04-13 07:00:21,0
416.94,2025-01-01 02:39:16,"-10.613058, -29.239093",2020-04-16 02:39:16,0,0,1,82,1,1000,0,4,2020-05-12 02:39:16,8,2,409.88,inadimplente,1,2024-12-06 14:25:46,1
32.65,2024-12-08 07:36:45,"-33.524532, -117.654327",2018-11-17 07:36:45,1,1,1,51,1,2000,0,2,2019-01-27 07:36:45,4,1,430.55,atrasado,1,2024-11-28 06:06:59,1
115.72,2023-08-31 13:50:43,"-32.932666, -54.430857",2014-08-31 13:50:43,1,0,1,33,1,10000,1,1,2014-10-07 13:50:43,0,2,302.1,inadimplente,0,2023-08-14 18:18:10,1
147.9,2024-03-24 06:40:54,"28.074969, 89.04186",2021-09-30 06:40:54,0,0,1,52,0,1000,0,1,2021-10-06 06:40:54,10,4,332.42,bom,0,2024-03-21 17:31:31,0
902.38,2024-02-12 01:49:24,"-15.605754, 78.2489",2022-11-28 01:49:24,0,0,0,38,1,10000,1,5,2022-12-23 01:49:24,4,2,286.99,atrasado,0,2024-02-07 17:35:39,0
299.77,2025-05-19 05:54:37,"6.32741, 80.322364",2024-11-18 05:54:37,0,0,1,40,0,10000,1,1,2024-12-25 05:54:37,0,0,199.4,atrasado,0,2025-05-02 23:33:29,1
334.9,2024-07-26 16:32:53,"-8.217166, 50.872467",2018-08-10 16:32:53,1,0,0,82,1,5000,0,0,2018-09-21 16:32:53,2,5,178.58,atrasado,1,2024-07-17 15:36:38,0
470.46,2024-06-28 19:27:58,"42.591221, 104.676359",2018-01-16 19:27:58,0,0,0,69,1,20000,1,0,2018-03-08 19:27:58,10,0,298.78,bom,0,2024-06-05 15:11:31,1
17.78,2024-10-16 08:36:28,"78.44857, -177.541157",2020-05-29 08:36:28,0,0,1,52,1,5000,0,2,2020-08-20 08:36:28,5,5,210.27,bom,0,2024-10-10 14:51:58,1
174.77,2024-05-01 01:55:30,"-34.774858, -34.050019",2018-08-13 01:55:30,1,0,0,55,1,20000,0,1,2018-08-30 01:55:30,7,1,217.45,atrasado,1,2024-04-10 21:25:48,1
46.29,2024-07-30 14:05:41,"46.323094, 108.718197",2015-03-29 14:05:41,0,0,0,28,1,20000,1,0,2015-06-09 14:05:41,1,0,267.86,inadimplente,0,2024-07-02 18:50:57,0
288.87,2025-06-09 23:23:37,"-60.383312, 127.614963",2020-05-27 23:23:37,0,0,0,80,0,20000,1,0,2020-07-24 23:23:37,2,4,324.5,atrasado,1,2025-05-13 14:23:23,0
22.66,2024-10-24 02:06:49,"10.583496, 62.196376",2021-04-11 02:06:49,0,0,1,50,0,2000,0,0,2021-06-04 02:06:49,5,5,249.31,bom,0,2024-10-20 17:42:02,1
