Valor da Transação,Classe(transações anteriores),Classe (rótulo),Recorrência de envios do mesmo valor,Idade do titular do cartão,Classe(cartão temporário),Limite de crédito,Classe(nome lista devedores),Número de cartões complementares,Numero transações para outro pais,Número de transações suspeitas anteriormente,Valor médio das transações do usuário,Classe(emprego fixo),Dispositivo de acesso novo?,Hora da Transação,Dias desde criação da conta,Dias desde ativação cartão,Segundos desde última transação,Latitude,Longitude,pagamento_atrasado,pagamento_bom,pagamento_inadimplente
38.3,0,0,0,62,1,5000,0,4,5,0,283.87,1,1,21,3512,3430,442662.0,-71.657765,98.093119,True,False,False
219.44,1,0,0,73,0,20000,1,4,7,3,340.41,1,0,2,3424,3356,1351843.0,82.941762,48.810638,True,False,False
135.59,1,1,0,77,1,5000,0,3,2,3,108.12,1,1,12,3641,3600,1083608.0,59.531583,-148.801357,False,True,False
100.57,1,0,0,84,0,1000,0,5,7,4,297.35,1,1,8,3634,3582,2058653.0,-39.661472,34.615803,False,True,False
282.15,1,0,0,57,1,10000,1,3,5,2,280.76,1,1,8,937,867,1136305.0,52.727916,-146.500794,False,False,True
46.96,1,0,0,41,0,2000,1,2,8,4,330.15,0,1,8,818,743,814188.0,-44.747338,-136.563881,True,False,False
1273.21,0,0,1,23,0,20000,1,5,10,3,414.28,0,1,4,87,71,2407799.0,-49.053031,-115.401044,False,True,False
81.4,0,0,1,79,0,1000,1,3,9,5,375.19,0,0,6,785,776,636389.0,-5.50855,-21.431233,False,False,True
137.56,0,0,0,71,0,20000,1,3,4,4,358.69,1,0,18,378,322,2385004.0,56.005574,161.685231,True,False,False
28.39,0,0,0,51,0,2000,0,1,1,1,519.05,1,1,18,3154,3084,1889549.0,19.733564,86.43215,False,True,False
116.04,1,0,1,27,0,5000,0,3,8,1,309.97,0,0,0,2925,2911,1114143.0,-37.573328,-96.668556,False,False,True
339.56,1,0,1,33,1,5000,1,2,8,3,249.65,0,0,8,1289,1225,2508347.0,-77.146229,-120.267796,True,False,False
215.29,1,0,0,29,0,20000,0,5,9,0,193.77,1,1,0,2502,2468,2176692.0,70.09612,84.432212,False,True,False
352.26,1,0,1,29,1,5000,1,2,10,0,347.36,1,1,7,2427,2386,1726564.0,74.893102,-114.663907,False,True,False
828.1,0,0,1,29,1,5000,1,0,8,0,221.67,1,0,9,3362,3311,1733285.0,-38.120797,160.269674,False,False,True
775.86,1,0,1,24,0,5000,0,2,7,0,267.79,0,1,12,3128,3072,664286.0,-56.235143,-49.759431,False,True,False
89.5,0,0,0,77,0,2000,1,5,8,5,322.75,1,1,17,411,374,2023749.0,9.151021,18.810507,True,False,False
226.28,0,0,0,26,1,10000,1,4,0,2,430.71,1,1,5,1601,1567,2461795.0,-46.128437,18.455428,False,False,True
29.32,1,0,1,66,1,5000,0,5,9,3,325.99,1,1,4,2013,1983,183070.0,65.746907,-19.242939,False,True,False
124.21,1,0,1,37,1,1000,0,4,5,0,378.18,0,1,16,3353,3278,2205998.0,44.046927,73.882037,True,False,False
388.34,0,0,0,78,1,5000,1,5,5,5,325.05,1,1,2,3597,3587,1328173.0,-87.237432,-128.10405,False,False,True
308.19,0,0,1,47,0,10000,0,5,1,3,334.64,1,0,22,310,220,121413.0,67.028943,-167.076324,False,True,False
52.89,1,0,1,36,0,20000,1,4,2,1,329.31,0,1,14,1498,1411,2556393.0,-31.61256,-159.797078,False,True,False
1.52,0,0,0,77,1,10000,1,5,7,2,228.56,0,1,11,2418,2417,309799.0,21.547866,-93.301275,False,False,True
238.71,1,0,1,76,1,2000,1,3,3,3,180.87,1,1,16,1255,1242,2410935.0,80.142414,175.55461,False,False,True
373.63,1,0,1,19,0,20000,1,2,9,2,365.66,0,0,6,3429,3400,1051204.0,88.684568,-73.716929,False,True,False
118.09,0,0,1,74,0,20000,1,5,1,2,396.34,1,0,14,2677,2661,736687.0,23.084659,145.225333,True,False,False
321.54,1,0,0,50,1,5000,1,0,1,1,341.28,1,1,0,1528,1469,2337538.0,-66.211236,14.186793,False,True,False
29.51,0,0,1,65,1,20000,1,5,1,5,211.05,1,1,22,1113,1066,104960.0,-73.745482,-37.953158,False,True,False
1083.69,1,0,1,70,0,2000,0,0,7,0,218.42,0,0,0,288,250,2254633.0,74.746064,-100.307808,False,True,False
667.82,1,0,0,71,0,10000,1,2,5,1,301.3,1,1,3,3073,3069,990328.0,-20.04375,-46.435854,True,False,False
258.05,1,0,0,68,1,2000,0,3,10,1,445.35,0,1,1,2260,2249,212141.0,-72.116168,66.844896,False,False,True
65.16,0,0,0,44,0,2000,1,1,0,2,192.91,0,1,7,2342,2266,2265827.0,-46.157599,-134.667401,False,True,False
846.32,0,1,0,19,1,2000,1,0,4,0,348.25,1,0,0,3578,3556,2206562.0,53.732488,-140.426515,False,True,False
739.05,1,0,0,75,0,20000,0,5,8,2,347.32,0,1,7,3216,3132,255120.0,44.21975,-8.551452,True,False,False
994.12,1,0,1,27,0,5000,0,0,4,4,292.72,1,1,10,472,456,1597628.0,62.513738,-26.541497,False,False,True
104.63,0,0,0,73,1,2000,1,2,6,3,255.35,0,1,19,436,378,1310922.0,-8.331225,37.953645,False,False,True
55.72,1,0,0,29,0,1000,1,0,2,4,385.64,1,1,22,655,608,512675.0,-33.745757,-88.239673,False,True,False
825.39,1,0,0,54,1,5000,0,4,3,1,211.61,1,0,10,3103,3039,940551.0,-26.352346,59.522587,False,False,True
286.36,1,1,0,72,0,20000,1,0,4,5,315.37,1,0,1,500,477,1472298.0,-26.979481,20.255571,True,False,False
45.28,1,0,0,36,0,1000,0,3,7,2,335.78,1,1,13,2722,2669,1307101.0,-57.347,-128.429463,False,True,False
358.22,0,0,0,38,0,1000,1,3,6,3,356.08,1,1,9,377,293,1737212.0,49.830412,24.33368,False,False,True
133.65,1,0,0,54,1,20000,1,0,6,4,351.5,0,1,10,1443,1415,857412.0,-51.197586,4.44467,False,True,False
605.39,1,1,1,59,0,1000,1,5,2,1,351.38,0,1,20,3160,3105,2098252.0,80.158336,96.24583,True,False,False
214.83,1,0,0,76,0,5000,1,4,10,3,357.09,0,0,3,203,152,1698828.0,-77.026411,130.23517,True,False,False
363.17,1,0,1,29,1,1000,0,3,6,4,413.56,1,1,5,2561,2486,1301385.0,83.915944,-118.125655,False,True,False
662.2,0,0,0,62,1,2000,0,0,4,1,222.72,0,0,9,342,324,316054.0,-50.117029,100.482433,False,True,False
259.02,1,0,1,58,0,10000,0,3,10,2,276.32,0,0,9,1930,1874,1476152.0,81.232585,46.061558,True,False,False
187.98,1,0,1,27,0,20000,1,3,8,5,368.63,1,0,7,263,189,2397701.0,-34.126587,-17.311009,False,True,False
9.29,0,0,1,31,1,1000,0,0,7,3,138.73,0,1,16,647,616,1526298.0,-32.125183,-8.77355,False,False,True
518.81,1,0,0,60,0,5000,0,4,6,2,306.43,0,0,13,3202,3116,1398221.0,75.228622,-40.530039,True,False,False
440.89,1,0,1,34,0,5000,1,5,2,5,192.23,0,1,2,1462,1420,1775895.0,14.893113,-129.085783,False,False,True
292.57,1,0,1,42,0,2000,0,0,1,4,304.56,0,0,2,907,870,1412492.0,-86.718503,-68.808215,False,False,True
233.37,0,0,1,23,1,5000,0,3,4,5,234.84,0,0,1,770,692,2239805.0,17.504359,-124.469006,True,False,False
388.49,0,1,1,74,1,5000,1,4,6,1,97.49,0,0,0,1951,1884,1048589.0,-34.295779,111.104594,False,True,False
475.7,0,0,0,54,0,2000,1,3,2,3,318.65,0,1,9,2301,2236,1892167.0,25.412227,134.6821,False,True,False
173.4,1,0,0,67,0,5000,0,0,1,5,350.5,1,0,1,1653,1613,612575.0,77.484947,-30.637114,False,False,True
157.76,0,0,1,75,0,1000,0,2,2,4,386.58,1,1,0,1965,1938,466351.0,-83.105426,150.262622,False,False,True
51.04,1,0,1,26,0,10000,0,5,9,1,476.55,0,1,21,1006,941,1221683.0,-47.224759,-136.134596,False,False,True
323.82,1,0,0,28,1,1000,0,3,0,5,340.5,1,0,7,2367,2307,1063886.0,-89.71842,-52.986226,True,False,False
929.43,0,0,1,35,0,5000,1,5,10,3,512.22,1,0,8,1017,995,764529.0,-25.723102,-155.678559,False,False,True
163.21,0,0,1,43,0,2000,0,2,8,3,403.25,1,0,3,1904,1865,1062474.0,-78.641903,99.428544,False,False,True
132.0,0,0,1,52,0,5000,1,3,6,2,344.38,1,1,20,1492,1436,2086764.0,45.592365,-111.202765,False,True,False
192.84,0,0,1,28,1,20000,0,4,5,0,377.46,1,1,6,3311,3274,1240003.0,76.375884,6.939307,False,True,False
202.96,1,0,1,75,0,5000,1,2,0,0,274.74,1,0,20,712,631,1523837.0,-9.735163,78.358648,False,False,True
152.5,1,0,0,34,0,2000,1,2,9,0,175.22,0,1,21,2518,2469,1887112.0,81.502091,-128.599391,False,False,True
302.43,0,0,1,68,1,5000,0,0,2,3,444.13,1,0,6,2380,2377,2355826.0,-23.037592,94.71041,False,False,True
209.83,0,0,1,80,0,1000,0,0,2,5,156.41,0,1,4,1857,1800,1340448.0,-42.880198,-86.295682,True,False,False
322.49,1,0,0,40,1,20000,0,0,2,1,319.91,0,1,16,1219,1194,1513709.0,37.717288,17.998973,True,False,False
8.06,0,0,0,57,1,10000,1,3,1,1,239.98,0,1,8,561,488,1887329.0,-5.866949,173.884305,True,False,False
845.18,0,0,0,73,0,1000,0,2,2,2,458.6,0,1,8,3626,3605,1451325.0,32.419618,-55.974679,False,False,True
183.89,1,0,0,56,0,20000,0,4,2,1,176.22,1,0,5,2631,2557,2363985.0,62.268067,-89.782089,False,False,True
851.44,1,0,0,71,0,10000,1,5,7,1,328.1,1,1,6,216,178,1247528.0,58.542528,-169.785544,False,False,True
22.15,1,0,1,77,0,5000,0,2,5,3,237.73,1,0,14,1830,1790,2159983.0,-76.864855,-158.431308,False,True,False
559.06,1,0,0,36,0,1000,1,3,6,1,241.06,1,1,10,1125,1047,2422995.0,-32.55914,-12.069876,False,True,False
37.73,1,0,1,57,1,1000,0,3,7,1,384.96,1,0,2,2138,2074,204087.0,-55.829862,-122.636732,False,True,False
297.42,1,0,1,19,0,10000,0,2,6,2,381.29,1,0,11,3482,3436,214570.0,-39.355859,35.106758,False,True,False
99.4,1,0,1,33,0,1000,1,2,8,2,362.96,0,1,7,1612,1569,2526912.0,-24.74572,-76.103389,False,True,False
416.63,1,0,1,84,1,2000,0,2,5,1,297.91,1,1,0,591,513,2490261.0,0.014023,-163.690793,True,False,False
139.57,1,0,1,20,1,5000,0,3,4,5,311.73,0,1,19,2036,1962,2503620.0,1.316698,3.497076,False,False,True
125.02,0,1,0,79,0,20000,1,1,3,0,278.23,0,0,13,3209,3122,800207.0,-42.204521,56.01275,False,False,True
416.94,0,0,1,82,1,1000,0,4,8,2,409.88,1,1,2,1721,1695,2204010.0,-10.613058,-29.239093,False,False,True
32.65,1,1,1,51,1,2000,0,2,4,1,430.55,1,1,7,2213,2142,869386.0,-33.524532,-117.654327,True,False,False
115.72,1,0,1,33,1,10000,1,1,0,2,302.1,0,1,13,3287,3250,1452753.0,-32.932666,-54.430857,False,False,True
147.9,0,0,1,52,0,1000,0,1,10,4,332.42,0,0,6,906,900,220163.0,28.074969,89.04186,False,True,False
902.38,0,0,0,38,1,10000,1,5,4,2,286.99,0,0,1,441,416,375225.0,-15.605754,78.2489,True,False,False
299.77,0,0,1,40,0,10000,1,1,0,0,199.4,0,1,5,182,145,1405268.0,6.32741,80.322364,True,False,False
334.9,1,0,0,82,1,5000,0,0,2,5,178.58,1,0,16,2177,2135,780975.0,-8.217166,50.872467,True,False,False
470.46,0,0,0,69,1,20000,1,0,10,0,298.78,0,1,19,2355,2304,2002587.0,42.591221,104.676359,False,True,False
17.78,0,0,1,52,1,5000,0,2,5,5,210.27,0,1,8,1601,1518,495870.0,78.44857,-177.541157,False,True,False
174.77,1,0,0,55,1,20000,0,1,7,1,217.45,1,1,1,2088,2071,1744182.0,-34.774858,-34.050019,True,False,False
46.29,0,0,0,28,1,20000,1,0,1,0,267.86,0,0,14,3411,3339,2402084.0,46.323094,108.718197,False,False,True
288.87,0,0,0,80,0,20000,1,0,2,4,324.5,1,0,23,1839,1781,2365214.0,-60.383312,127.614963,True,False,False
22.66,0,0,1,50,0,2000,0,0,5,5,249.31,0,1,2,1292,1238,289487.0,10.583496,62.196376,False,True,False
367.5,0,0,1,65,1,10000,1,3,10,5,155.19,0,0,15,3179,3169,1458652.0,-84.287723,-32.807903,False,False,True
502.67,0,1,0,18,0,5000,1,5,6,4,159.25,0,1,1,2196,2127,1038140.0,-57.874747,13.413055,True,False,False
1280.63,0,0,0,71,0,2000,0,0,9,0,228.16,0,0,3,3614,3602,1026489.0,-27.691248,-80.766098,True,False,False
450.37,0,0,0,82,1,2000,1,4,10,2,278.66,1,0,16,919,843,600877.0,-17.592237,-95.63786,False,True,False
165.61,0,1,1,81,0,5000,1,4,6,3,298.1,1,0,4,2310,2270,1578988.0,-15.559163,-80.944589,False,True,False
3.43,0,0,1,36,1,1000,1,3,8,1,199.75,0,0,5,3508,3437,1069529.0,45.794898,-9.533225,True,False,False
17.39,1,0,0,42,0,5000,1,5,9,0,332.27,0,0,5,1872,1795,2464504.0,-30.552661,-151.534644,False,True,False
411.18,1,0,0,45,0,1000,1,1,9,5,217.28,1,1,11,1393,1304,1003826.0,-3.709043,133.010587,False,True,False
982.42,1,0,1,51,1,20000,1,3,7,2,369.01,1,1,16,2215,2203,1312490.0,49.592499,-42.961772,False,True,False
75.92,0,1,0,51,1,5000,0,1,3,3,259.88,0,1,18,3066,3024,2094222.0,-81.771219,131.070543,False,False,True
3.67,1,1,1,39,1,2000,0,5,7,1,322.41,0,0,10,2993,2924,2197582.0,-43.681184,115.773098,False,False,True
23.0,0,0,0,70,0,2000,0,5,0,1,301.26,1,0,18,3380,3361,1565317.0,61.032329,-153.241052,False,False,True
1045.07,1,0,1,20,0,20000,1,0,8,5,445.11,1,1,19,2555,2553,71901.0,21.210342,60.031703,True,False,False
181.84,0,0,0,48,0,20000,1,2,6,0,395.93,1,0,20,468,434,1925176.0,55.110186,147.518412,True,False,False
263.35,0,1,0,29,1,10000,1,4,0,5,518.98,0,1,7,2831,2771,346810.0,88.241946,-98.691389,False,True,False
97.46,0,0,0,47,0,20000,1,2,1,5,219.17,0,1,2,1386,1381,752267.0,62.159363,52.166607,True,False,False
186.92,1,0,0,56,0,20000,0,4,10,4,224.09,1,0,13,620,571,586995.0,-87.181543,-105.423078,True,False,False
1099.49,0,1,1,47,0,5000,1,2,10,2,315.04,1,1,12,249,246,956881.0,0.142713,170.756398,True,False,False
359.36,1,0,0,55,0,1000,0,2,6,5,395.04,0,1,6,790,771,1634193.0,9.54679,-44.846281,False,False,True
346.3,1,0,1,52,0,2000,0,1,7,4,242.31,1,0,16,1292,1237,433241.0,-25.073959,-147.052646,False,False,True
725.49,1,0,1,19,1,10000,1,0,3,4,167.98,0,0,23,2475,2404,1596905.0,-73.868608,19.51913,False,False,True
809.71,0,0,0,39,1,5000,1,2,1,2,483.15,0,0,19,2049,1988,2079546.0,-65.008789,-71.592744,True,False,False
13.88,1,0,1,66,1,10000,1,3,9,1,417.94,1,0,7,57,-26,2530051.0,-7.584906,-131.223771,True,False,False
1309.28,1,0,1,80,0,5000,1,2,5,0,253.08,0,0,22,1661,1611,2483980.0,-3.778246,-116.050582,False,False,True
270.52,1,0,0,74,1,1000,1,5,2,5,288.55,0,0,14,3008,2945,1059823.0,32.708274,18.035697,True,False,False
160.75,1,0,1,69,1,20000,0,2,8,4,423.78,0,0,14,332,243,458728.0,38.74255,104.067635,False,False,True
17.41,0,0,1,60,1,1000,0,0,3,4,300.52,0,1,15,2680,2647,1869730.0,28.368296,-52.196825,False,False,True
439.58,0,1,1,21,1,1000,1,3,1,5,304.7,1,1,12,2440,2430,1308162.0,-19.59585,98.043204,False,True,False
568.43,1,0,1,30,1,10000,1,0,0,5,193.24,0,0,23,2008,1970,1438973.0,-8.040126,-105.527763,False,True,False
924.07,0,0,0,38,1,20000,1,3,6,5,285.76,0,1,10,3063,3034,1812503.0,31.88508,-120.832527,False,True,False
77.88,1,0,1,67,0,2000,0,2,1,4,146.59,0,1,23,838,748,1534247.0,-84.745391,41.078497,False,True,False
36.16,1,0,1,67,1,20000,0,2,7,4,427.77,1,0,2,2777,2732,2577334.0,-54.52663,-138.976211,False,True,False
220.38,1,0,0,41,1,2000,1,3,2,4,417.93,1,1,7,1007,931,779107.0,30.979815,-67.253132,True,False,False
240.83,0,0,0,80,1,2000,0,2,9,0,306.75,0,0,17,2672,2615,2032597.0,24.390296,69.635854,True,False,False
627.83,1,0,1,80,1,10000,1,1,9,0,364.54,1,1,4,2330,2320,137133.0,-54.876872,-41.780097,False,True,False
365.3,1,0,1,83,0,20000,0,2,5,4,436.86,1,0,9,3227,3158,2291571.0,-49.528185,-76.078688,False,True,False
43.98,0,0,1,22,1,5000,1,0,1,1,405.84,1,1,12,3429,3373,2559623.0,88.159631,-143.130082,False,True,False
149.39,0,0,0,62,1,20000,0,2,4,2,124.13,1,0,17,876,786,2157612.0,-60.123309,-129.875412,False,False,True
703.52,0,0,1,34,0,2000,0,5,3,5,450.24,1,1,7,1715,1674,596311.0,-65.593997,90.033889,True,False,False
151.52,0,0,1,83,1,5000,1,3,9,0,307.41,0,1,19,339,298,1922875.0,23.006308,-44.937962,False,False,True
594.94,0,1,1,45,1,5000,1,2,8,4,129.66,1,0,7,1659,1616,1441748.0,63.019123,106.444054,False,True,False
184.38,1,1,0,33,0,10000,1,0,3,5,294.45,1,1,7,3457,3403,666799.0,-81.730273,45.424628,False,True,False
203.55,1,0,0,24,1,5000,0,3,1,5,169.55,0,1,14,367,284,895153.0,-73.198803,-50.243262,False,True,False
23.67,1,0,0,19,1,1000,1,5,7,0,366.97,1,0,13,2157,2141,374681.0,-75.97103,33.724619,False,True,False
41.11,0,0,1,35,0,1000,0,4,2,3,336.66,0,1,4,1255,1172,634909.0,-71.423724,-47.677792,True,False,False
60.22,0,0,0,35,0,20000,1,2,5,1,206.01,1,0,12,919,865,353364.0,20.893682,-20.741807,False,True,False
681.29,1,0,0,56,0,20000,0,5,4,5,201.43,0,1,6,2518,2468,2075709.0,9.611394,36.002832,False,True,False
64.07,0,0,0,64,1,2000,1,4,5,4,350.4,0,0,23,2462,2409,1975578.0,-69.706141,-0.150285,False,False,True
55.51,0,0,0,25,1,20000,1,5,6,3,289.3,1,0,16,1103,1039,345727.0,-86.995908,-155.688275,False,False,True
69.33,0,0,0,59,1,20000,0,2,6,5,196.48,0,0,3,2124,2035,1025422.0,-40.055808,-68.433521,False,True,False
210.0,0,0,1,40,0,1000,0,5,2,3,230.03,1,1,5,2537,2536,700293.0,76.432996,-138.244831,True,False,False
620.44,0,1,0,60,1,5000,0,2,10,0,321.4,1,1,11,1130,1057,2142374.0,-67.152491,101.204633,True,False,False
18.91,1,0,0,50,0,20000,0,1,0,0,361.42,0,1,19,713,648,192860.0,-80.02096,129.369522,False,True,False
61.19,0,0,1,46,1,2000,1,5,4,0,375.75,1,0,19,763,723,500803.0,-24.484231,151.281556,False,False,True
138.84,1,0,0,77,1,5000,1,0,7,0,148.48,0,1,12,218,148,1223038.0,-57.718017,109.561687,True,False,False
186.27,1,0,0,49,0,1000,1,0,8,2,436.69,0,0,6,1538,1509,1405164.0,43.123678,-92.669762,False,False,True
11.21,1,0,0,44,0,10000,1,0,4,0,357.66,0,1,22,3053,3035,2180028.0,46.607248,-44.541061,False,True,False
215.03,0,0,0,82,0,10000,0,4,0,3,331.13,0,1,9,3093,3021,993092.0,36.152444,-45.902889,False,False,True
34.01,1,0,1,58,1,5000,0,0,2,4,139.36,0,0,4,3310,3285,443160.0,-43.021631,-66.59679,False,True,False
94.1,1,0,0,75,1,10000,1,0,2,5,320.35,0,1,13,524,513,901862.0,-9.077985,-66.948016,True,False,False
6.08,1,0,0,56,1,2000,0,3,8,5,235.34,0,1,23,1487,1430,397306.0,-63.301716,76.016663,False,False,True
38.27,0,0,0,46,0,2000,1,2,10,5,191.85,1,0,22,527,440,314519.0,-71.656677,105.771507,False,True,False
270.12,1,0,0,29,1,1000,0,3,2,4,299.2,1,0,17,2675,2669,2080904.0,89.489057,-108.809879,True,False,False
27.28,0,0,0,53,1,10000,0,0,9,4,447.99,1,1,13,1479,1401,2092503.0,-21.108701,-26.400953,False,True,False
265.18,1,0,1,35,1,2000,0,5,0,3,196.28,1,1,9,389,320,2011942.0,68.900143,-7.548865,False,False,True
100.13,1,0,1,41,0,5000,0,0,0,3,280.97,1,0,16,1347,1312,2449427.0,-28.073858,23.634401,False,False,True
311.47,0,0,1,25,0,20000,1,2,2,1,160.14,1,0,6,2720,2698,1504845.0,85.316375,-143.951639,False,False,True
32.2,0,0,0,81,1,2000,1,0,0,1,356.3,0,1,20,2355,2344,83584.0,36.621519,-53.394427,False,False,True
84.69,0,0,1,40,1,1000,0,1,2,0,240.76,1,1,12,855,780,304219.0,-89.876971,150.442627,False,False,True
57.12,0,0,1,56,1,2000,0,5,10,3,213.6,1,1,9,2430,2375,730658.0,36.816842,58.370239,False,False,True
25.09,1,0,1,55,0,2000,0,5,6,4,327.05,0,1,4,748,675,2526601.0,-49.817301,32.022056,False,True,False
35.65,0,0,1,36,1,1000,0,2,2,5,294.98,1,0,6,934,894,1873301.0,75.786879,168.311407,False,True,False
1046.72,1,0,1,31,0,1000,1,3,2,3,242.32,1,1,18,307,254,1473170.0,-42.261761,-90.165289,True,False,False
56.22,0,0,0,75,0,1000,1,0,4,0,375.54,1,1,4,3569,3529,713472.0,-71.742859,-7.38387,False,True,False
795.12,1,0,1,21,1,2000,1,1,1,2,133.06,0,1,17,411,405,1716644.0,-61.037191,-152.999128,False,True,False
440.24,0,0,1,80,0,1000,1,0,1,2,354.34,1,0,12,422,368,837496.0,28.907621,-72.935767,False,False,True
117.33,0,0,1,32,1,10000,1,3,4,0,137.25,1,1,0,1225,1141,775448.0,-85.367575,-118.500411,False,False,True
36.59,0,0,1,74,1,5000,0,2,0,1,304.81,0,1,2,1855,1783,359482.0,69.388685,-47.015401,False,False,True
102.17,0,0,0,67,1,20000,1,4,7,2,293.39,1,0,5,3128,3098,145661.0,55.472428,-30.964805,False,True,False
228.16,0,0,0,42,0,1000,1,0,6,1,178.9,0,1,12,738,651,2495810.0,-68.349263,92.587952,False,False,True
123.12,0,0,0,67,1,20000,1,2,7,0,400.63,1,1,5,3336,3270,471938.0,-32.445092,81.757083,False,False,True
